PowerGeneration,PowerGeneration,Timeofsunshine(hr),Percentageofsunshine(%),Amountofsunshine(MJ_m2),AverageTemperature(℃),MaximumTemperature(℃),MinimumTemperature(℃),AverageHumid(%rh),MinmumHumid(%rh),Precipitation(mm)
0.0,51.05135135135136,1.2337837837837837,11.378378378378379,4.013108108108108,11.021621621621621,14.471621621621622,7.77027027027027,86.27702702702703,67.08108108108108,15.389189189189189
1.0,153.32,1.1066666666666667,9.78,5.6116,13.612,16.917333333333332,10.453333333333333,83.75866666666666,64.70666666666666,11.684
2.0,250.8,2.7427272727272727,25.143636363636364,8.282181818181817,12.968181818181819,17.248181818181816,9.002727272727272,78.52636363636363,58.372727272727275,6.147272727272727
3.0,354.78290598290596,5.952136752136752,53.570085470085466,11.572136752136753,11.225641025641027,16.376923076923077,6.694871794871794,73.82051282051282,48.58974358974359,1.6521367521367523
4.0,457.90108695652174,7.7375,70.1679347826087,13.321739130434782,10.2625,15.663586956521739,5.414673913043478,70.04076086956522,45.266304347826086,0.9222826086956522
5.0,547.2567741935484,8.388387096774194,73.77677419354839,15.059032258064518,10.335483870967742,15.94709677419355,5.401935483870967,68.00193548387097,41.44516129032258,0.5729032258064516
6.0,649.4393162393162,9.601709401709403,78.49059829059829,18.35145299145299,13.518803418803419,19.44871794871795,8.292307692307693,69.94444444444444,42.84615384615385,0.21965811965811965
7.0,739.728,10.922666666666668,84.17466666666667,22.109333333333336,15.034666666666665,21.62,9.001333333333333,66.384,37.45333333333333,0.09333333333333334
8.0,836.6875,11.884375,88.596875,25.27875,12.34375,18.953125,6.125,65.596875,34.21875,0.659375
9.0,900.9,12.3,94.65,25.26,8.350000000000001,13.5,3.35,59.099999999999994,27.0,0.0
51.0,5153.6,5.2,41.3,15.56,10.5,15.2,6.9,74.5,51.0,0.0
54.0,5451.0,7.0,61.9,11.81,5.7,11.5,-0.9,56.5,25.0,0.0
